XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1591254000,1701.096,1704.132,1699.408,1702.698,1181,4238.85
XAU,1H,1591257600,1702.698,1705.316,1702.116,1704.866,1995,4238.75
XAU,1H,1591261200,1704.866,1708.784,1704.618,1707.554,4170,3724.55
XAU,1H,1591264800,1707.554,1715.781,1706.351,1712.662,1798,2977.15
XAU,1H,1591268400,1712.662,1713.368,1705.496,1707.941,4383,2130.15
XAU,1H,1591272000,1707.941,1718.328,1705.56,1717.053,14167,2318.5
XAU,1H,1591275600,1717.053,1717.632,1702.583,1707.856,10876,2719.3
XAU,1H,1591279200,1707.856,1708.635,1700.455,1706.934,8029,3049.25
XAU,1H,1591282800,1706.934,1714.865,1706.268,1713.952,7640,3365.75
XAU,1H,1591286400,1713.952,1718.235,1713.304,1717.001,2612,3398.9
XAU,1H,1591290000,1717.001,1721.483,1715.646,1718.932,3569,3557.7
XAU,1H,1591293600,1718.932,1720.152,1716.165,1716.913,2903,3675.35
XAU,1H,1591297200,1716.913,1717.946,1713.6,1716.183,3055,3809.3
XAU,1H,1591300800,1716.183,1717.19,1711.982,1714.272,1126,3796.5
XAU,1H,1591308000,1714.272,1716.875,1714.272,1714.468,528,3767.6
XAU,1H,1591311600,1714.468,1715.996,1712.31,1712.756,325,3728.75
XAU,1H,1591315200,1712.756,1716.346,1712.414,1713.849,1021,3696.65
XAU,1H,1591318800,1713.849,1716.004,1712.458,1712.828,1224,3709.75
XAU,1H,1591322400,1712.828,1713.436,1710.53,1711.542,727,3675.4
XAU,1H,1591326000,1711.542,1711.605,1707.046,1708.85,1121,3622.5
XAU,1H,1591329600,1708.85,1710.869,1708.48,1708.826,719,3599.4
XAU,1H,1591333200,1708.826,1712.717,1708.688,1709.792,1026,3550.95
XAU,1H,1591336800,1709.792,1711.502,1707.558,1709.186,2154,3450.15
XAU,1H,1591340400,1709.186,1711.306,1707.242,1709.702,2047,3462.6
XAU,1H,1591344000,1709.702,1713.665,1707.138,1711.25,3045,3395.7
XAU,1H,1591347600,1711.25,1711.82,1706.188,1707.658,1878,2781.25
XAU,1H,1591351200,1707.658,1708.982,1701.894,1705.75,4832,2479.05
XAU,1H,1591354800,1705.75,1707.238,1703.229,1705.64,1226,2138.9
XAU,1H,1591358400,1705.64,1705.82,1682.701,1687.54,19980,2755.9
XAU,1H,1591362000,1687.54,1691.848,1678.958,1680.167,27708,4010.7
XAU,1H,1591365600,1680.167,1684.751,1670.438,1675.566,13993,4531.9
XAU,1H,1591369200,1675.566,1682.194,1675.354,1678.034,21299,5451.7
XAU,1H,1591372800,1678.034,1683.708,1677.488,1682.287,7888,5693.35
XAU,1H,1591376400,1682.287,1682.946,1679.202,1681.566,4666,5870.35
XAU,1H,1591380000,1681.566,1683.288,1679.374,1683.036,3877,6037.8
XAU,1H,1591383600,1683.036,1684.318,1681.291,1682.009,5666,6304.85
XAU,1H,1591387200,1682.009,1685.938,1681.428,1685.27,1712,6339.4
XAU,1H,1591567200,1685.27,1685.27,1677.506,1679.174,3320,6444.2
XAU,1H,1591570800,1679.174,1682.204,1677.844,1681.442,1272,6471.45
XAU,1H,1591574400,1681.442,1684.47,1680.881,1682.207,2939,6562.35
XAU,1H,1591578000,1682.207,1688.16,1681.774,1686.254,2838,6668.3
XAU,1H,1591581600,1686.254,1688.924,1685.918,1687.554,2385,6736.25
XAU,1H,1591585200,1687.554,1688.984,1687.554,1688.509,1399,6698.5
XAU,1H,1591588800,1688.509,1690.03,1688.114,1688.944,3511,6771.7
XAU,1H,1591592400,1688.944,1691.448,1687.161,1690.752,4299,6834.4
XAU,1H,1591596000,1690.752,1695.04,1689.578,1693.078,3337,6907.35
XAU,1H,1591599600,1693.078,1696.568,1691.814,1695.4,2214,6776.45
XAU,1H,1591603200,1695.4,1697.621,1693.494,1693.52,2050,6817.65
XAU,1H,1591606800,1693.52,1696.008,1692.126,1695.375,1808,5909.05
XAU,1H,1591610400,1695.375,1697.07,1693.59,1695.442,1091,4578.2
XAU,1H,1591614000,1695.442,1696.485,1691.717,1692.098,3436,4050.35
XAU,1H,1591617600,1692.098,1694.538,1690.86,1691.57,4729,3221.85
XAU,1H,1591621200,1691.57,1692.584,1686.482,1690.554,13374,3496.15
XAU,1H,1591624800,1690.554,1695.976,1688.785,1693.016,22783,4402
XAU,1H,1591628400,1693.016,1693.67,1689.656,1691.696,8067,4611.5
XAU,1H,1591632000,1691.696,1698.873,1691.572,1697.599,5355,4595.95
XAU,1H,1591635600,1697.599,1700.105,1696.182,1697.539,8068,4913.75
XAU,1H,1591639200,1697.539,1699.782,1696.615,1698.972,3247,4910.1
XAU,1H,1591642800,1698.972,1700.494,1696.771,1698.388,2906,4991.8
XAU,1H,1591646400,1698.388,1699.538,1697.546,1698.298,1676,4928.65
XAU,1H,1591653600,1698.298,1700.582,1697.126,1697.191,414,4807.45
XAU,1H,1591657200,1697.191,1699.566,1696.139,1697.544,1036,4740
XAU,1H,1591660800,1697.544,1701.114,1697.228,1700.495,1264,4733.25
XAU,1H,1591664400,1700.495,1704.91,1697.743,1697.959,4820,4798.7
XAU,1H,1591668000,1697.959,1698.522,1694.965,1695.776,2961,4731.8
XAU,1H,1591671600,1695.776,1697.236,1694.53,1695.514,920,4610.95
XAU,1H,1591675200,1695.514,1697.786,1693.958,1697.226,2065,4603.5
XAU,1H,1591678800,1697.226,1699.772,1695.222,1698.541,2308,4616.4
XAU,1H,1591682400,1698.541,1698.688,1692.368,1695.601,2753,4663.65
XAU,1H,1591686000,1695.601,1702.374,1695.25,1701.964,8340,5026.1
XAU,1H,1591689600,1701.964,1707.021,1701.464,1705.744,6199,5164.25
XAU,1H,1591693200,1705.744,1709.862,1705.161,1708.859,4439,5149.75
XAU,1H,1591696800,1708.859,1710.51,1707.762,1710.09,2463,4604.2
XAU,1H,1591700400,1710.09,1711.268,1705.949,1707.727,3327,3631.4
XAU,1H,1591704000,1707.727,1717.927,1704.704,1716.354,6179,3537
XAU,1H,1591707600,1716.354,1719.852,1712.854,1718.995,8275,3683
XAU,1H,1591711200,1718.995,1720.888,1715.642,1718.537,8142,3686.7
XAU,1H,1591714800,1718.537,1719.47,1715.86,1716.2,15370,4292.85
XAU,1H,1591718400,1716.2,1717.149,1714.034,1715.496,8807,4587.9
XAU,1H,1591722000,1715.496,1716.324,1713.962,1715.566,9000,4954.1
XAU,1H,1591725600,1715.566,1717.43,1712.445,1713.395,7049,5285.85
XAU,1H,1591729200,1713.395,1715.874,1711.736,1715.07,7656,5616.85
XAU,1H,1591732800,1715.07,1716.79,1713.698,1714.786,3475,5727.4
